g_erst,g_art,g_nr,g_name
"Loss Davide (SP, Adliswil)", Parlamentarische Initiative,30/2017,Gerichtliche Kontrolle von gebundenen Ausgaben
"Isler René (SVP, Winterthur)", Parlamentarische Initiative,16/2017,Senkung der Strassenverkehrsabgaben um 20%
"Sulser Jürg (SVP, Otelfingen)", Parlamentarische Initiative,11/2017,"Reduktion bzw. Anpassung der Verkehrsabgaben für Lastwagen, schwere Sattelschlepper und Gesellschaftswagen"
"Gantner Alex (FDP, Maur)", Parlamentarische Initiative,10/2017,Verkehrsabgaben für ÖV-Motorfahrzeuge
"Müller Christian (FDP, Steinmaur)", Parlamentarische Initiative,9/2017,"Verlängerung Ökobonus für gewerblich genutzte Lieferwagen bis 3,5 Tonnen"
"Egli Hans (EDU, Steinmaur)", Parlamentarische Initiative,406/2016,Keine Besserstellung von Sozialhilfebezügern gegenüber Arbeitenden
"Geistlich Andreas (FDP, Schlieren)", Parlamentarische Initiative,377/2016,Reduktion der Besteuerung von Kapitalleistungen aus Vorsorge
"Furrer Astrid (FDP, Wädenswil)", Parlamentarische Initiative,332/2016,Sunset Legislation für das Hundegesetz
"Farner Martin (FDP, Oberstammheim)", Parlamentarische Initiative,320/2016,Kein Zwang für Hundekurse
"Mischol Tumasch (SVP, Hombrechtikon)", Parlamentarische Initiative,319/2016,"Hundegesetz, praktische Hundeausbildung"
Kantonsrat Geschäftsleitung, Parlamentarische Initiative,317/2016,Umsetzung des Bundesgerichtsentscheides vom 27. Mai 2015 mittels Behandlungspflicht von Umsetzungsvorlagen zu Volksinitiativen in der Form der allgemeinen Anregung
Kantonsrat Geschäftsleitung, Parlamentarische Initiative,316/2016,Revision des Finanzkontrollgesetzes (FKG)
"Gantner Alex (FDP, Maur)", Parlamentarische Initiative,283/2016,Unvereinbarkeiten für Mitglieder des Kantonsrates
Kantonsrat Geschäftsleitung, Parlamentarische Initiative,279/2016,Berichterstattung des Regierungsrats zu kantonalen Beteiligungen
"Gantner Alex (FDP, Maur)", Parlamentarische Initiative,270/2016,Frist zur Behandlung von Parlamentarischen Initiativen
"Sulser Jürg (SVP, Otelfingen)", Parlamentarische Initiative,249/2016,Abzahlen oder Abarbeiten der Schäden wegen grober Verunreinigung und Vandalismus
"Bourgeois Marc (FDP, Zürich)", Parlamentarische Initiative,248/2016,Chaoten statt Steuerzahler belasten
"Brunner Robert (Grüne, Steinmaur)", Parlamentarische Initiative,211/2016,Änderung EKZ-Gesetz
"Hoffmann Benedikt (SVP, Zürich)", Parlamentarische Initiative,170/2016,Keine Finanzierung universitärer Ausbildung durch die Sozialhilfe
"Hoffmann Benedikt (SVP, Zürich)", Parlamentarische Initiative,169/2016,Keine selbständige Anfechtung von Auflagen und Weisungen in der Sozialhilfe
"Huber Beat (SVP, Buchs)", Parlamentarische Initiative,143/2016,Wasserkraftwerke müssen in Schweizer Hand bleiben
"Bütikofer Kaspar (AL, Zürich)", Parlamentarische Initiative,142/2016,Bedarfsgerechte Akutversorgung: Keine Leistungsaufträge für Überkapazitäten
Justizkommission, Parlamentarische Initiative,141/2016,Parlamentarisches Anfragerecht an die Gerichte
"Schmid Claudio (SVP, Bülach)", Parlamentarische Initiative,110/2016,Drei Prozent-Quorum bei Kantonsratswahlen
"Wicki Monika (SP, Zürich)", Parlamentarische Initiative,75/2016,Kantonale Anstellung der DAZ-Lehrkräfte
"Lenggenhager Marcel (BDP, Gossau)", Parlamentarische Initiative,37/2016,Direkte Demokratie beleben - Stimmpflicht einführen
"Feldmann Stefan (SP, Uster)", Parlamentarische Initiative,24/2016,Automatisierter freiwilliger Direktabzug der direkten Steuern vom Lohn
"Vollenweider Peter (FDP, Stäfa)", Parlamentarische Initiative,310/2015,Beanspruchung von privatem Grundeigentum beim Bau von Uferwegen
"Bischoff Markus (AL, Zürich)", Parlamentarische Initiative,273/2015,Listenummern
"Wäfler Daniel (SVP, Gossau)", Parlamentarische Initiative,252/2015,Die Gemeinden bestimmen die Form der Sozialhilfe
"Sarbach Martin (SP, Zürich)", Parlamentarische Initiative,178/2015,Änderung von § 76 StG
"Spillmann Moritz (SP, Ottenbach)", Parlamentarische Initiative,71/2015,Starke Familien – starke Kinder
"Spillmann Moritz (SP, Ottenbach)", Parlamentarische Initiative,47/2015,Mit ausreichenden Deutschkenntnissen in den Kindergarten
"Langhart Konrad (SVP, Oberstammheim)", Parlamentarische Initiative,18/2015,Eigenständige KESB auch im Bezirk Andelfingen
"Büchi-Wild Renate (SP, Richterswil)", Parlamentarische Initiative,6/2015,Pikettdienst für die KESB
Kommission für Bildung und Kultur, Parlamentarische Initiative,5/2015,"Opernhausgesetz, Finanzierung Bauten"
"Farner Martin (FDP, Oberstammheim)", Parlamentarische Initiative,4/2015,Ergänzung des EG KESR
"Katumba Andrew (SP, Zürich)", Parlamentarische Initiative,398/2018,Vorkaufsrecht der Standortgemeinde bei Veräusserun-gen von kantonalen Immobilien
